TestGesamt,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Time,HospTakenPercent,ICUTakenPercent
0,7,3,12,3,1,2020-04-01,36.8421052631579,50.0
0,18,11,1048,119,2,2020-04-01,1.6885553470919326,8.461538461538462
9395,164,36,3854,157,3,2020-04-01,4.081632653061225,18.65284974093264
0,113,29,4408,116,4,2020-04-01,2.4994470249944705,20.0
7439,56,10,1267,85,5,2020-04-01,4.232804232804233,10.526315789473685
0,138,27,2924,162,6,2020-04-01,4.506858262573481,14.285714285714286
0,156,57,700,102,7,2020-04-01,18.22429906542056,35.84905660377358
0,39,12,500,84,8,2020-04-01,7.2356215213358075,12.5
0,165,30,0,0,9,2020-04-01,100.0,100.0
16834,856,215,14713,828,10,2020-04-01,5.498105209069305,20.613614573346116
1265,10,3,530,37,1,2020-04-02,1.8518518518518519,7.5
4078,17,1,728,75,2,2020-04-02,2.2818791946308723,1.3157894736842106
9982,160,43,3842,127,3,2020-04-02,3.99800099950025,25.294117647058822
15740,107,31,4421,137,4,2020-04-02,2.3630742049469964,18.452380952380953
8046,52,13,1441,82,5,2020-04-02,3.48292029470864,13.68421052631579
9127,121,28,2941,151,6,2020-04-02,3.95166557805356,15.64245810055866
21051,159,56,728,105,7,2020-04-02,17.925591882750844,34.78260869565217
4021,39,12,500,33,8,2020-04-02,7.2356215213358075,26.666666666666668
18880,158,32,0,0,9,2020-04-02,100.0,100.0
92190,823,219,15131,747,10,2020-04-02,5.158580920145418,22.67080745341615
1375,8,4,497,22,1,2020-04-03,1.5841584158415842,15.384615384615385
4303,17,11,737,80,2,2020-04-03,2.2546419098143238,12.087912087912088
10566,160,43,3842,127,3,2020-04-03,3.99800099950025,25.294117647058822
17287,102,33,4496,101,4,2020-04-03,2.218355806872553,24.62686567164179
8783,59,14,1330,81,5,2020-04-03,4.2476601871850255,14.736842105263158
9694,134,30,2956,151,6,2020-04-03,4.336569579288026,16.574585635359117
22328,154,55,740,106,7,2020-04-03,17.225950782997764,34.161490683229815
4389,39,12,481,27,8,2020-04-03,7.5,30.76923076923077
19618,156,43,0,0,9,2020-04-03,100.0,100.0
98343,829,245,15079,695,10,2020-04-03,5.211214483278853,26.06382978723404
1486,7,3,528,23,1,2020-04-04,1.308411214953271,11.538461538461538
4509,21,11,730,82,2,2020-04-04,2.796271637816245,11.827956989247312
11086,167,39,3937,131,3,2020-04-04,4.069200779727096,22.941176470588236
18643,102,33,4496,101,4,2020-04-04,2.218355806872553,24.62686567164179
9361,64,15,1325,80,5,2020-04-04,4.607631389488841,15.789473684210526
10262,126,34,3035,163,6,2020-04-04,3.9860803543182537,17.258883248730964
23246,156,54,740,117,7,2020-04-04,17.410714285714285,31.57894736842105
4801,35,12,485,27,8,2020-04-04,6.730769230769231,30.76923076923077
20740,148,44,0,0,9,2020-04-04,100.0,100.0
104134,826,245,15276,724,10,2020-04-04,5.129797540678177,25.28379772961816
1495,6,6,521,25,1,2020-04-05,1.1385199240986716,19.35483870967742
4601,22,13,721,80,2,2020-04-05,2.9609690444145356,13.978494623655914
11397,69,43,4012,127,3,2020-04-05,1.6907620681205586,25.294117647058822
19496,104,32,4765,103,4,2020-04-05,2.1359622098993634,23.703703703703702
9641,76,14,1330,81,5,2020-04-05,5.405405405405405,14.736842105263158
10715,110,28,3159,154,6,2020-04-05,3.3649434077699603,15.384615384615385
23962,142,54,747,115,7,2020-04-05,15.973003374578179,31.952662721893493
4965,33,12,485,83,8,2020-04-05,6.370656370656371,12.631578947368421
22144,150,42,0,0,9,2020-04-05,100.0,100.0
108416,712,244,15740,768,10,2020-04-05,4.327741308047654,24.110671936758894
1521,5,6,531,16,1,2020-04-06,0.9328358208955224,27.272727272727273
4682,22,12,726,75,2,2020-04-06,2.9411764705882355,13.793103448275861
11829,164,43,4276,127,3,2020-04-06,3.6936936936936937,25.294117647058822
20041,106,29,4619,100,4,2020-04-06,2.2433862433862433,22.48062015503876
9799,72,18,1451,97,5,2020-04-06,4.727511490479317,15.652173913043478
11049,125,30,3124,164,6,2020-04-06,3.847337642351493,15.463917525773196
24412,141,59,795,114,7,2020-04-06,15.064102564102564,34.104046242774565
5165,32,11,489,82,8,2020-04-06,6.142034548944338,11.827956989247312
22798,157,42,0,0,9,2020-04-06,100.0,100.0
111296,824,250,16011,775,10,2020-04-06,4.894564894564895,24.390243902439025
1639,9,4,546,15,1,2020-04-07,1.6216216216216217,21.05263157894737
4895,23,12,727,76,2,2020-04-07,3.066666666666667,13.636363636363637
12393,169,48,4255,122,3,2020-04-07,3.8200723327305606,28.235294117647058
20853,94,31,4440,93,4,2020-04-07,2.0732245258050286,25.0
9978,79,16,1444,99,5,2020-04-07,5.187130663164806,13.91304347826087
11522,137,29,2988,159,6,2020-04-07,4.384,15.425531914893616
25061,156,59,746,105,7,2020-04-07,17.29490022172949,35.97560975609756
5235,32,11,489,29,8,2020-04-07,6.142034548944338,27.5
23659,158,33,3301,239,9,2020-04-07,4.567794160161896,12.132352941176471
115235,857,243,18936,937,10,2020-04-07,4.329813570454201,20.593220338983052
1609,10,2,553,14,1,2020-04-08,1.7761989342806395,12.5
5199,21,12,729,83,2,2020-04-08,2.8,12.631578947368421
12911,153,55,3724,115,3,2020-04-08,3.94635027082796,32.35294117647059
21846,119,33,4357,91,4,2020-04-08,2.6586237712243075,26.612903225806452
10605,69,21,1454,94,5,2020-04-08,4.530531845042679,18.26086956521739
12184,143,33,2915,155,6,2020-04-08,4.676258992805756,17.5531914893617
26141,132,65,758,113,7,2020-04-08,14.831460674157304,36.51685393258427
5391,29,11,492,28,8,2020-04-08,5.566218809980806,28.205128205128204
24869,153,35,3575,295,9,2020-04-08,4.104077253218884,10.606060606060606
120755,829,267,18557,988,10,2020-04-08,4.276281852883524,21.274900398406373
1667,11,4,567,12,1,2020-04-09,1.9031141868512111,25.0
5573,19,13,728,86,2,2020-04-09,2.5435073627844713,13.131313131313131
13457,154,54,3659,116,3,2020-04-09,4.038814581694204,31.764705882352942
22839,117,29,4327,104,4,2020-04-09,2.632763276327633,21.804511278195488
11101,75,19,1448,92,5,2020-04-09,4.9244911359159556,17.117117117117118
12753,141,31,2768,144,6,2020-04-09,4.847026469577174,17.714285714285715
27174,123,65,747,104,7,2020-04-09,14.137931034482758,38.46153846153846
5609,29,11,492,81,8,2020-04-09,5.566218809980806,11.956521739130435
26114,151,40,3664,269,9,2020-04-09,3.958060288335518,12.944983818770227
126287,820,266,18400,1008,10,2020-04-09,4.266389177939646,20.87912087912088
1736,8,4,648,13,1,2020-04-10,1.2195121951219512,23.529411764705884
5891,18,12,730,84,2,2020-04-10,2.406417112299465,12.5
14061,152,53,3616,117,3,2020-04-10,4.033970276008493,31.176470588235293
23638,92,28,4406,97,4,2020-04-10,2.0453534904401955,22.4
11521,74,19,1449,92,5,2020-04-10,4.858831254103743,17.117117117117118
13390,131,32,2782,141,6,2020-04-10,4.497082046000687,18.497109826589597
